0,026 0,034 0,028 0,036 0,030 0,038 0,041 0,038 0,030 0,028
0,028 0,030 0,034 0,038 0,040 0,036 0,034 0,023 0,032 0,026
0,034 0,032 0,024 0,036 0,032 0,026 0,030 0,028 0,038 0,034
0,038 0,041 0,028 0,026 0,030 0,034 0,032 0,040 0,036 0,032
0,030 0,036 0,034 0,032 0,023 0,032 0,028 0,032 0,026 0,038
0,026 0,032 0,028 0,040 0,038 0,030 0,032 0,024 0,036 0,030
0,024 0,032 0,030 0,036 0,028 0,041 0,032 0,038 0,034 0,026
0,041 0,034 0,023 0,038 0,026 0,030 0,028 0,036 0,040 0,028
0,030 0,026 0,034 0,028 0,024 0,036 0,032 0,030 0,038 0,034
0,028 0,034 0,040 0,036 0,030 0,038 0,023 0,034 0,032 0,026
