0,023 0,023 0,023 0,023 0,024 0,024 0,024 0,024 0,026 0,026
0,026 0,026 0,026 0,026 0,026 0,026 0,026 0,026 0,028 0,028
0,028 0,028 0,028 0,028 0,028 0,028 0,028 0,028 0,028 0,028
0,030 0,030 0,030 0,030 0,030 0,030 0,030 0,030 0,030 0,030
0,030 0,030 0,030 0,032 0,032 0,032 0,032 0,032 0,032 0,032
0,032 0,032 0,032 0,032 0,032 0,032 0,032 0,034 0,034 0,034
0,034 0,034 0,034 0,034 0,034 0,034 0,034 0,034 0,034 0,034
0,036 0,036 0,036 0,036 0,036 0,036 0,036 0,036 0,036 0,036
0,038 0,038 0,038 0,038 0,038 0,038 0,038 0,038 0,038 0,038
0,038 0,040 0,040 0,040 0,040 0,040 0,041 0,041 0,041 0,041
